run,epoch,AP,AP50,AP75,MR-2_generic,ODAM_quality
baseline,0,0.0018008208107018,0.0052959819143809,0.0019932428025411,0.9969330001132756,
baseline,1,0.0001236188873119,0.0003560287535602,3.6003600360036005e-05,0.999118927537399,
baseline,2,0.0002514707933889,0.0013851941632955,6.600660066006602e-05,0.99911795188882,
baseline,3,0.0071680622224801,0.0210359819295459,0.0033003300330033,0.9874066197985258,
baseline,4,0.0106022087340426,0.0329912814908964,0.0029095741024091,0.9857602848180846,
baseline,5,0.0170677149306098,0.0541246374244699,0.0110616059363057,0.9826515334682224,
baseline,6,0.0210857069450718,0.072816368132847,0.0050600316968282,0.979867914824941,
baseline,7,0.0224139911841031,0.069428941083236,0.0116586134674234,0.9770420702767376,
baseline,8,0.0213765862506666,0.0745153345749453,0.0044846915168644,0.97908162384763,
baseline,9,0.0243747624322817,0.0841739886592416,0.0049425171186647,0.9759807978565878,
baseline,10,0.0299206511347634,0.0988361780104816,0.0075104494004885,0.9705049299664158,
baseline,11,0.0317253451509923,0.1023088317417596,0.0100086824191456,0.9741193083675388,
baseline,12,0.0346773402365764,0.1106634152779723,0.0097124282977399,0.9669246560352208,
baseline,13,0.0290170333753775,0.0931291589078118,0.0069012970573707,0.9751297264961998,
baseline,14,0.0399623718948316,0.1222036021720476,0.0186445000713891,0.9645564565213404,
baseline,15,0.0334840284027935,0.0984803781633882,0.0174320717144614,0.973081820859071,
baseline,16,0.038828329444454,0.1196139560999451,0.0142752975325494,0.9694584841243944,
baseline,17,0.0424419901611557,0.1295637319103955,0.0202037053763703,0.9648442363850368,
baseline,18,0.0396433912444487,0.1221607254740947,0.0122276488042199,0.9631146726868184,
baseline,19,0.0449452088499145,0.138421394703772,0.0207591858753104,0.961609943762666,
baseline,20,0.0504212860437282,0.1487365508639528,0.0233124517383872,0.9596684668935456,
baseline,21,0.0509703934779854,0.1512153801180744,0.0245701233898897,0.9597050630165348,
baseline,22,0.0496174663939453,0.1454420707357669,0.0237645541939114,0.961121802827321,
baseline,23,0.0514858536972009,0.1529611211681373,0.0238695087169557,0.9592817232366188,
baseline,24,0.0514820152878452,0.1499513659016263,0.0253830319120955,0.9580690184698988,
baseline,25,0.0525315950824808,0.152377106537575,0.0273364067190964,0.9579011411493116,
baseline,26,0.0520719473054454,0.153283907575419,0.0234026832644748,0.9582421435267612,
baseline,27,0.0512831993341176,0.1546539861050326,0.0234577153824581,0.9584797381466404,
baseline,28,0.0518102006177925,0.1544773032002178,0.0247603133173151,0.9585156161185132,
baseline,29,0.0511917642552145,0.151408689735202,0.0244058822265872,0.9595675964113096,
E0,0,0.0018151815181518,0.0049504950495049,0.0,0.9992608905426024,0.836911940940228
E0,1,0.0014144732760448,0.0066688054774216,0.0001317408044777,0.9990829066576054,0.8560906073315316
E0,2,0.0044491804832449,0.0196210637566408,0.0004270764893452,0.9959686325541564,0.8461570053348877
E0,3,0.013309587023012,0.039333699439093,0.0101944738540996,0.9913034811086936,0.8512572036792829
E0,4,0.0120263976471059,0.0464531594808348,0.0036474996041938,0.9900449265836652,0.8673665195373497
E0,5,0.0048852977592307,0.0170230190650611,0.0002769908131757,0.9996832435856826,0.8993481661693772
