run,rows,cosine_raw_mean,cosine_raw_min,cosine_raw_max,aux_to_det_raw_mean,aux_to_det_raw_min,aux_to_det_raw_max,aux_to_det_effective_mean,aux_to_det_effective_min,aux_to_det_effective_max,gate_mean,gate_min,gate_max,alpha_mean,alpha_min,alpha_max,effective_weight_mean,effective_weight_min,effective_weight_max,projected_rate,cap_active_rate,unsafe_descent_rate,dominance_effective_rate
E0,5400,-0.010271848361670595,-0.9050850337974468,0.8959437129140436,0.2760219381645665,0.0,10.916888029397125,0.05520438763291328,0.0,2.183377605879425,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.31925925925925924,0.001851851851851852
E1,5400,0.0002848259517580334,-0.9335213510085294,0.9492400272660184,0.27562280982717335,0.0,25.755680562005526,0.05031727286847915,0.0,5.1511361124011055,1.0,1.0,1.0,0.15980497646267652,0.0,0.2,0.15980497646267652,0.0,0.2,0.0,0.0,0.2737037037037037,0.0033333333333333335
E2,5400,-0.0006309602485888664,-0.5426671680974845,0.6579032249724731,0.007548831818936095,0.0,2.2617727192949126,0.0014840225820152118,0.0,0.4523545438589825,1.0,1.0,1.0,0.15980497646267652,0.0,0.2,0.15980497646267652,0.0,0.2,0.0,0.0,0.012222222222222223,0.0
E3,5400,0.0002782633736798609,-0.6479184031486511,0.5392338037490845,0.014180866458892204,0.0,3.9467731902442624,0.0027549208793025627,0.0,0.7893546498111532,0.02962962962962963,0.0,1.0,0.15980497646267652,0.0,0.2,0.005871777711091217,0.0,0.2000000029802322,0.013333333333333334,0.0,0.0,0.0
E4,5400,0.000757826451660582,-0.6119920611381531,0.7390391826629639,0.007884761269234172,0.0,2.39411365432899,0.00033153249019672685,0.0,0.0500000040379217,0.025185185185185185,0.0,1.0,0.15980497646267652,0.0,0.2,0.004982888808956852,0.0,0.2000000029802322,0.009259259259259259,0.012222222222222223,0.0,0.0
E5,5400,0.0014416428951167122,-0.6389884352684021,0.5737220644950867,0.010114882166220609,0.0,2.3910310355935285,0.0002835568043821505,0.0,0.0255468079567426,0.020130959309085653,0.0,0.9462727904319764,0.15980497646267652,0.0,0.2,0.003983311062609706,0.0,0.1892545670270919,0.015185185185185185,0.017777777777777778,0.0,0.0
