run,dir,method,stage,warmup,filtering,projection,norm_cap,gate,odam_weight,dpga_alpha_max,epochs,git_commit,metrics_schema_version,best_AP,best_AP_epoch,final_AP,best_AP50,best_AP50_epoch,final_AP50,best_AP75,best_AP75_epoch,final_AP75,best_AR100,best_AR100_epoch,final_AR100,best_MR-2_generic,best_MR-2_generic_epoch,final_MR-2_generic,final_loss_det,mean_loss_det,final_loss_odam,mean_loss_odam,final_loss_total_objective,mean_loss_total_objective,best_ODAM_quality,best_ODAM_quality_epoch,final_ODAM_quality,final_loss_proxy,mean_loss_proxy,final_odam_num_candidates,mean_odam_num_candidates,final_odam_num_kept,mean_odam_num_kept,final_odam_keep_ratio,mean_odam_keep_ratio
baseline,outputs/baseline,baseline,,,,,,,0.2,,30,,,0.0525315950824808,25,0.0511917642552145,0.1546539861050326,27,0.151408689735202,0.0273364067190964,25,0.0244058822265872,0.1752613240418118,25,0.1680076021539436,0.9579011411493116,25,0.9595675964113096,0.224408197302494,0.25240737048172524,0.0,0.0,0.224408197302494,0.25240737048172524,,,,,,,,,,,
E0,outputs/e0,odam,E0,False,False,False,False,False,0.2,,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3.0,0.0308814869429625,26,0.030607961632846,0.1039239928004663,28,0.10182357835128,0.0135202136907066,17,0.0131086526076212,0.1477351916376306,10,0.1441558441558441,0.9769462597611792,27,0.9778707679534042,0.2617867921022466,0.27451420680352706,0.1838171789524847,0.1842813557250313,0.2985502282337917,0.3113704783300706,0.8993481661693772,5.0,0.8732187961781182,0.2985502282337917,0.3113704783300706,23.25689307330195,21.753396099529255,23.25689307330195,21.753396099529255,0.9428379287155346,0.9377718000448331
E1,outputs/e1,odam,E1,True,False,False,False,False,0.2,,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3.0,0.0331120941531489,20,0.032571625528696,0.1056419296288163,28,0.1052519024038609,0.0139288089320612,20,0.0136021204720867,0.1501425403864428,28,0.1490972442191954,0.9747368902489107,27,0.9760191952522644,0.2615271517017351,0.2738116283771925,0.1907465184702387,0.1672486272811759,0.2996764551195558,0.3045193827158966,0.8687102563034204,5.0,0.8577248388250076,0.2996764551195558,0.3045193827158966,23.17350369872226,19.600784577449005,23.17350369872226,19.600784577449005,0.9435104236718224,0.8142456848240305
E2,outputs/e2,odam,E2,True,True,False,False,False,0.2,,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3.0,0.0323385354121312,15,0.0315422873636016,0.1057033517231702,29,0.1057033517231702,0.0137984453011883,13,0.009783667296592,0.1566360468799493,12,0.1496990814063984,0.9772982572941236,26,0.977375896110762,0.2624437749937299,0.2751815133926634,0.0062673677622636,0.0037851829423882,0.263697248633178,0.2759365765904403,0.963196184227058,0.0,0.8137243836645478,0.263697248633178,0.2759365765904403,23.30733019502354,19.7234476574759,0.1223940820443846,0.08179780318314274,0.0043356507952702,0.002875787478480571
E3,outputs/e3,dpga,E3,True,True,True,False,False,0.2,0.2,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3.0,0.0313634975822913,23,0.0302132516767883,0.105604542053295,29,0.105604542053295,0.01380231285697,15,0.0077033820876142,0.1534051314539119,15,0.1505226480836236,0.976460329601337,27,0.9765960178810488,0.2622704766244485,0.2748167146068868,0.004926977123807,0.0029986499650432505,,,0.8705681639455987,0.0,0.7695371629368546,0.2671974537637029,0.27781536450861494,23.282111634162742,19.657890607487108,0.1112979152656355,0.06951356198161845,0.0037209849028642,0.002524239196350379
E4,outputs/e4,dpga,E4,True,True,True,True,False,0.2,0.2,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3.0,0.0339115556257585,24,0.0333337338250218,0.107502888405309,26,0.1060499012830027,0.0133144476852969,10,0.0127750849608059,0.1512195121951219,28,0.1493189737092176,0.9760154954748502,27,0.976754855672476,0.2623703926591867,0.2744852500656171,0.0054704834026708,0.003774052942952634,,,0.8562188709021158,5.0,0.7885406379244939,0.267840875836594,0.27825930290977335,23.16644250168124,19.594776955839496,0.1200403496973772,0.07650750952701184,0.0043985213121122,0.00295874843470133
E5,outputs/e5,dpga,E5,True,True,True,True,True,0.2,0.2,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3.0,0.0346819686402268,28,0.0343504625911048,0.1101065184381521,28,0.1090549485382348,0.0142084948978384,8,0.0133178757305489,0.1553056699398162,10,0.1534368070953436,0.974906204639376,29,0.974906204639376,0.2609129824126659,0.27357993189136665,0.0071136681999131,0.004178684757211118,,,0.9535632964873948,0.0,0.8011684045083703,0.2680266503579401,0.2777586165380241,23.363147276395427,19.779914817305542,0.1445864156018829,0.09263618022864825,0.0047945846366948,0.003201893152202632
