transition,delta_best_AP,delta_final_AP,delta_best_AP50,delta_final_AP50,delta_best_MR-2_generic,delta_final_MR-2_generic
E0->E1,0.0022306072101863986,0.001963663895849996,0.001717936828350003,0.0034283240525808945,-0.0022093695122684665,-0.001851572701139781
E1->E2,-0.0007735587410176992,-0.0010293381650943942,6.142209435390511e-05,0.00045144931930930776,0.0025613670452128146,0.0013567008584975948
E2->E3,-0.0009750378298398962,-0.0013290356868133034,-9.880966987520223e-05,-9.880966987520223e-05,-0.0008379276927865664,-0.00077987822971326
E3->E4,0.002548058043467194,0.003120482148233499,0.0018983463520139965,0.0004453592297077036,-0.00044483412648677056,0.00015883779142722432
E4->E5,0.0007704130144683061,0.001016728766083004,0.002603630032843099,0.003005047255232096,-0.0011092908354741748,-0.0018486510330999462
