epoch,method,lr,seconds,loss_det,loss_odam,loss_total_objective,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic,ODAM_quality,ODAM_quality_samples,ODAM_quality_mean_iou,rapg_reliable_ratio,rapg_batch_reliability,rapg_empty_pair_rate,rapg_fallback_rate
0,baseline,0.0001,819.0456063747406,0.4364370282597855,0.0,0.4364370282597855,0.0018008208107018519,0.005295981914380933,0.001993242802541124,1.4777597162701345e-05,0.0006724852107149282,0.002985922504181505,0.0026924295216978144,0.009249287298067786,0.04615140956604371,0.9969330001132757,,,,0.0,0.0,0.0,0.0
1,baseline,0.0001,730.6262044906616,0.2812005364497035,0.0,0.2812005364497035,0.00012361888731197702,0.0003560287535602875,3.6003600360036005e-05,0.0,0.0029702970297029695,0.002863078452361726,0.0011719987329743427,0.0016788089958821666,0.0020589166930630345,0.999118927537399,,,,0.0,0.0,0.0,0.0
2,baseline,0.0001,729.2279551029205,0.27388419990603785,0.0,0.27388419990603785,0.0002514707933889669,0.0013851941632955027,6.600660066006602e-05,0.0,0.0006328757875787578,0.0039606019297528175,0.0020272410516312955,0.00345264491605955,0.0035793474817865057,0.9991179518888199,,,,0.0,0.0,0.0,0.0
3,baseline,0.0001,729.0991971492767,0.27012929563969873,0.0,0.27012929563969873,0.0071680622224801725,0.02103598192954595,0.0033003300330033,0.0,0.0016831683168316834,0.01937250180123659,0.004181184668989547,0.017991764333227748,0.02068419385492556,0.9874066197985258,,,,0.0,0.0,0.0,0.0
4,baseline,0.0001,732.0225808620453,0.2661106668308718,0.0,0.2661106668308718,0.010602208734042674,0.0329912814908964,0.00290957410240914,0.0,0.00850591859161037,0.027847300561192577,0.00563826417484954,0.03259423503325942,0.06648717136522016,0.9857602848180846,,,,0.0,0.0,0.0,0.0
5,baseline,0.0001,735.4664669036865,0.2630761968699693,0.0,0.2630761968699693,0.017067714930609885,0.05412463742446998,0.011061605936305778,8.082440897150939e-05,0.01274646874171751,0.035294159101380514,0.007728856509344314,0.03975292999683243,0.09464681659803612,0.9826515334682223,,,,0.0,0.0,0.0,0.0
6,baseline,0.0001,740.8741676807404,0.2609218505850637,0.0,0.2609218505850637,0.0210857069450718,0.07281636813284702,0.0050600316968282665,0.0010177880464773226,0.018907444643842284,0.04665781330131278,0.009407665505226481,0.05112448527082673,0.13310104529616723,0.979867914824941,,,,0.0,0.0,0.0,0.0
7,baseline,0.0001,734.4850480556488,0.2591011884973636,0.0,0.2591011884973636,0.022413991184103137,0.06942894108323608,0.011658613467423454,0.0001390719604478999,0.017935046910147336,0.04607898035545099,0.0119417168197656,0.050871080139372825,0.09299968324358568,0.9770420702767375,,,,0.0,0.0,0.0,0.0
8,baseline,0.0001,734.4788646697998,0.25833635868112576,0.0,0.25833635868112576,0.02137658625066669,0.07451533457494537,0.0044846915168644755,0.00038896746817538896,0.020352694556478926,0.046965083808267985,0.011149825783972125,0.05635096610706367,0.11171998732974342,0.9790816238476301,,,,0.0,0.0,0.0,0.0
9,baseline,0.0001,737.5249266624451,0.25539393046095454,0.0,0.25539393046095454,0.024374762432281757,0.08417398865924164,0.004942517118664789,3.4141345168999655e-05,0.02313547223576183,0.051380498973055334,0.011656636046879951,0.061577446943300605,0.1206525182134938,0.9759807978565878,,,,0.0,0.0,0.0,0.0
10,baseline,0.0001,740.791506767273,0.2544632174031434,0.0,0.2544632174031434,0.02992065113476341,0.09883617801048161,0.007510449400488544,0.0005861409683407157,0.025085756833489535,0.0678878125752699,0.013462147608489072,0.06759581881533101,0.1336395312005068,0.9705049299664158,,,,0.0,0.0,0.0,0.0
11,baseline,0.0001,749.0686841011047,0.252810211706889,0.0,0.252810211706889,0.03172534515099239,0.10230883174175967,0.010008682419145626,0.00018571248105115468,0.02811786590285926,0.06663706415100062,0.013588850174216027,0.06769084573962622,0.16943300601837186,0.9741193083675387,,,,0.0,0.0,0.0,0.0
12,baseline,0.0001,740.143393278122,0.25098868037706146,0.0,0.25098868037706146,0.03467734023657649,0.1106634152779723,0.009712428297739994,4.889369507261101e-05,0.02630877170876599,0.08365311439266061,0.014570795058599937,0.07421602787456447,0.12290148875514728,0.9669246560352208,,,,0.0,0.0,0.0,0.0
13,baseline,0.0001,745.4904084205627,0.24888323753428343,0.0,0.24888323753428343,0.02901703337537751,0.09312915890781188,0.00690129705737079,0.0001871011047673069,0.02288773740104281,0.0689067123232238,0.014824200190053847,0.06607538802660753,0.13918276845106112,0.9751297264961998,,,,0.0,0.0,0.0,0.0
14,baseline,0.0001,740.826833486557,0.24739992359268562,0.0,0.24739992359268562,0.039962371894831684,0.12220360217204762,0.018644500071389142,0.000121288178761756,0.029024737374527602,0.09420005168377281,0.01694646816598036,0.07633829585049097,0.14577130186886283,0.9645564565213405,,,,0.0,0.0,0.0,0.0
15,baseline,0.0001,740.0838642120361,0.24825748438284895,0.0,0.24825748438284895,0.033484028402793506,0.09848037816338821,0.017432071714461473,0.00010500993442033969,0.026072904142039915,0.07730165248338088,0.013937282229965157,0.06857776369971491,0.1199873297434273,0.973081820859071,,,,0.0,0.0,0.0,0.0
16,baseline,0.0001,745.2519633769989,0.2449668246636414,0.0,0.2449668246636414,0.038828329444454024,0.11961395609994513,0.014275297532549467,0.00020105635788891183,0.033185944122380275,0.08439325712076476,0.017706683560342096,0.07922077922077922,0.16693063034526448,0.9694584841243944,,,,0.0,0.0,0.0,0.0
