epoch,method,lr,seconds,loss_det,loss_odam,loss_total_objective,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic,ODAM_quality,ODAM_quality_samples,ODAM_quality_mean_iou,rapg_reliable_ratio,rapg_batch_reliability,rapg_empty_pair_rate,rapg_fallback_rate
17,baseline,0.0001,744.777093410492,0.243729915908928,0.0,0.243729915908928,0.042441990161155706,0.12956373191039558,0.020203705376370333,0.0007622701508664826,0.03206749967399133,0.09439933838235383,0.017833386126069054,0.07947418435223312,0.15204307887234716,0.9648442363850369,,,,0.0,0.0,0.0,0.0
18,baseline,0.0001,743.3671357631683,0.24316810069025746,0.0,0.24316810069025746,0.0396433912444487,0.12216072547409478,0.012227648804219912,7.404586612507405e-05,0.030771939470410074,0.09031134005518861,0.016503009185936012,0.0796959138422553,0.12458029775102944,0.9631146726868183,,,,0.0,0.0,0.0,0.0
19,baseline,1e-05,749.5103244781494,0.24138674418120654,0.0,0.24138674418120654,0.0449452088499145,0.13842139470377202,0.020759185875310424,0.00035436521566024513,0.03639715992838482,0.09997114082929302,0.019987329743427304,0.08159645232815964,0.16309787773202405,0.9616099437626661,,,,0.0,0.0,0.0,0.0
20,baseline,1e-05,750.4462766647339,0.23053146724256598,0.0,0.23053146724256598,0.05042128604372827,0.1487365508639528,0.0233124517383872,0.001461386246051878,0.038408732019609974,0.11351681429974946,0.02046246436490339,0.08824833702882483,0.15999366487171365,0.9596684668935455,,,,0.0,0.0,0.0,0.0
21,baseline,1e-05,748.8523120880127,0.22914653382262198,0.0,0.22914653382262198,0.05097039347798547,0.15121538011807445,0.024570123389889786,0.0014627315475581554,0.03915528178017561,0.11397119788824592,0.020462464364903392,0.09132087424770349,0.17199873297434273,0.9597050630165348,,,,0.0,0.0,0.0,0.0
22,baseline,1e-05,752.0769143104553,0.22833551999642474,0.0,0.22833551999642474,0.04961746639394534,0.14544207073576695,0.02376455419391146,0.0014196791056221266,0.038280315929792426,0.11039203707532816,0.02039911308203991,0.08951536268609438,0.1641748495407032,0.961121802827321,,,,0.0,0.0,0.0,0.0
23,baseline,1e-05,753.6455335617065,0.2273669479391021,0.0,0.2273669479391021,0.0514858536972009,0.15296112116813734,0.023869508716955774,0.0016954976646825742,0.041238289391871685,0.11126668814531232,0.020589166930630343,0.08999049730757047,0.17453278428888183,0.9592817232366188,,,,0.0,0.0,0.0,0.0
24,baseline,1e-05,750.8676433563232,0.22750100099983317,0.0,0.22750100099983317,0.05148201528784527,0.1499513659016263,0.02538303191209556,0.0013942304195780886,0.03918780986769556,0.11575158658291411,0.02134938232499208,0.09068736141906872,0.16186252771618623,0.9580690184698987,,,,0.0,0.0,0.0,0.0
25,baseline,1e-05,754.1174988746643,0.22697878201262275,0.0,0.22697878201262275,0.052531595082480856,0.152377106537575,0.02733640671909644,0.0015527538009582737,0.04168163559873899,0.11421753844326371,0.021412733607855557,0.09056065885334177,0.17526132404181183,0.9579011411493116,,,,0.0,0.0,0.0,0.0
26,baseline,1.0000000000000002e-06,753.7916088104248,0.2268933881476281,0.0,0.2268933881476281,0.05207194730544544,0.15328390757541902,0.02340268326447483,0.00102312002273796,0.041510975588197156,0.11421867340175029,0.02100095026924295,0.09021222679759264,0.1642382008235667,0.9582421435267613,,,,0.0,0.0,0.0,0.0
27,baseline,1.0000000000000002e-06,754.0543780326843,0.22557891490064416,0.0,0.22557891490064416,0.051283199334117624,0.15465398610503261,0.023457715382458104,0.0016239074399966645,0.04168844080694771,0.11332040071902146,0.020589166930630346,0.09154260373772569,0.17000316756414316,0.9584797381466404,,,,0.0,0.0,0.0,0.0
28,baseline,1.0000000000000002e-06,756.3108086585999,0.2248347694663019,0.0,0.2248347694663019,0.051810200617792575,0.15447730320021782,0.024760313317315152,0.001609519195881293,0.04158990386944685,0.11089431317746752,0.020842572062084255,0.08983211910041178,0.17114349065568576,0.9585156161185131,,,,0.0,0.0,0.0,0.0
29,baseline,1.0000000000000002e-06,752.1875269412994,0.22440819730249403,0.0,0.22440819730249403,0.051191764255214524,0.15140868973520205,0.024405882226587242,0.0014419825415039427,0.04096389103991511,0.10998139401397901,0.021191004117833385,0.09021222679759264,0.1680076021539436,0.9595675964113095,,,,0.0,0.0,0.0,0.0
