run,run_dir,method,experiment_stage,MR-2_Reasonable,MR-2_Heavy,MR-2_Small,citypersons_mr_source,offline_detection_source,offline_val_ann,offline_best_epoch,offline_final_epoch,offline_best_AP,offline_best_AP50,offline_best_AP75,offline_best_MR-2_generic,offline_best_MR-2_Reasonable,offline_best_MR-2_Heavy,offline_best_MR-2_Small,offline_final_AP,offline_final_AP50,offline_final_AP75,offline_final_MR-2_generic,offline_final_MR-2_Reasonable,offline_final_MR-2_Heavy,offline_final_MR-2_Small,best_AP50,best_AP50_epoch,final_AP50,best_AP,best_AP_epoch,final_AP,best_MR-2_generic,best_MR-2_generic_epoch,final_MR-2_generic
baseline,baseline,baseline,,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,25,29,0.052531595082480856,0.152377106537575,0.02733640671909644,0.9439663046275684,0.8964446093830586,0.94818314123537,0.9871729457065973,0.051191764255214524,0.15140868973520205,0.024405882226587242,0.9439341227294116,0.8956936015233895,0.9485157793717578,0.9839123752382468,0.15465398610503261,27.0,0.15140868973520205,0.052531595082480856,25.0,0.051191764255214524,0.9579011411493116,25.0,0.9595675964113095
E0,e0,odam,E0,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,26,29,0.030881486942962572,0.10218516318781909,0.013028139378241151,0.9665893129965651,0.9371951397999867,0.970490320331292,0.9930997921066637,0.030607961632846067,0.10182357835128002,0.013108652607621289,0.966833246212504,0.9380361722428747,0.9698719558472005,0.9924371624671,0.10392399280046634,28.0,0.10182357835128002,0.030881486942962572,26.0,0.030607961632846067,0.9769462597611792,27.0,0.9778707679534042
E1,e1,odam,E1,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,20,29,0.03311209415314895,0.10291549939628725,0.013928808932061242,0.9651143869124787,0.9354426852235529,0.9711540077177276,0.9908038198514026,0.03257162552869602,0.10525190240386091,0.013602120472086799,0.9652255853100883,0.9353831501582089,0.9710217663002104,0.9908038198514026,0.10564192962881637,28.0,0.10525190240386091,0.03311209415314895,20.0,0.03257162552869602,0.9747368902489107,27.0,0.9760191952522643
E2,e2,odam,E2,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,15,29,0.03233853541213129,0.10334766026781705,0.01372331796148604,0.9679880538011321,0.9395023171301874,0.9732368219096618,0.9944077242434213,0.03154228736360164,0.1057033517231702,0.009783667296592033,0.9670582705577488,0.9382503250777336,0.9726159168414092,0.9927581684957086,0.1057033517231702,29.0,0.1057033517231702,0.03233853541213129,15.0,0.03154228736360164,0.9772982572941237,26.0,0.9773758961107621
E3,e3,dpga,E3,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,23,29,0.03136349758229134,0.10385909819968707,0.013650815610118406,0.9671587006789528,0.9391285468376485,0.9709731127326114,0.9954081411756255,0.030213251676788316,0.10560454205329502,0.007703382087614296,0.9669638093857513,0.9363022703042345,0.9703789175683115,0.9950795149410318,0.10560454205329502,29.0,0.10560454205329502,0.03136349758229134,23.0,0.030213251676788316,0.976460329601337,27.0,0.9765960178810488
E4,e4,dpga,E4,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,24,29,0.033911555625758566,0.10736497582809318,0.01282613178691629,0.9661269803717967,0.9378704466490945,0.9715509181537278,0.9947420915849319,0.033333733825021875,0.10604990128300273,0.012775084960805937,0.9676200104881238,0.9393794617420264,0.9710483849620833,0.9940724550330523,0.10750288840530903,26.0,0.10604990128300273,0.033911555625758566,24.0,0.033333733825021875,0.9760154954748502,27.0,0.9767548556724761
E5,e5,dpga,E5,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,28,29,0.03468196864022687,0.11010651843815214,0.013948958757380996,0.9659778763035767,0.9365111876864003,0.9710774077153859,0.9967208643826012,0.034350462591104886,0.10905494853823486,0.013317875730548961,0.9657602361667464,0.9355920956237844,0.96888633728113,0.996393748668715,0.11010651843815214,28.0,0.10905494853823486,0.03468196864022687,28.0,0.034350462591104886,0.974906204639376,29.0,0.974906204639376
