run,run_dir,method,experiment_stage,epochs,rows,git_commit,metrics_schema_version,world_size,warmup_enabled,filtering_enabled,projection_enabled,norm_cap_enabled,gate_enabled,time_per_epoch_mean_s,time_per_epoch_median_s,time_total_s,peak_gpu_memory_gb,inference_ms_per_image,fps,num_parameters,best_AP,best_AP_epoch,final_AP,best_AP50,best_AP50_epoch,final_AP50,best_AP75,best_AP75_epoch,final_AP75,best_AP_small,best_AP_small_epoch,final_AP_small,best_AP_medium,best_AP_medium_epoch,final_AP_medium,best_AP_large,best_AP_large_epoch,final_AP_large,best_AR1,best_AR1_epoch,final_AR1,best_AR10,best_AR10_epoch,final_AR10,best_AR100,best_AR100_epoch,final_AR100,best_MR-2_generic,best_MR-2_generic_epoch,final_MR-2_generic,best_ODAM_quality,best_ODAM_quality_epoch,final_ODAM_quality,best_ODAM_quality_mean_iou,best_ODAM_quality_mean_iou_epoch,final_ODAM_quality_mean_iou,mean_loss_det,final_loss_det,mean_loss_odam,final_loss_odam,mean_raw_loss_sum,final_raw_loss_sum,mean_loss_proxy,final_loss_proxy,mean_odam_num_candidates,final_odam_num_candidates,mean_odam_num_kept,final_odam_num_kept,mean_odam_keep_ratio,final_odam_keep_ratio,MR-2_Reasonable,MR-2_Heavy,MR-2_Small,citypersons_mr_source,offline_detection_source,offline_val_ann,offline_iou_threshold,offline_citypersons_ignore_ioa,offline_citypersons_protocol,offline_final_epoch,offline_final_prediction_file,offline_final_AP,offline_final_AP50,offline_final_AP75,offline_final_AP_small,offline_final_AP_medium,offline_final_AP_large,offline_final_AR1,offline_final_AR10,offline_final_AR100,offline_final_MR-2_generic,offline_final_MR-2_Reasonable,offline_final_MR-2_Heavy,offline_final_MR-2_Small,offline_best_epoch,offline_best_prediction_file,offline_best_AP,offline_best_AP50,offline_best_AP75,offline_best_AP_small,offline_best_AP_medium,offline_best_AP_large,offline_best_AR1,offline_best_AR10,offline_best_AR100,offline_best_MR-2_generic,offline_best_MR-2_Reasonable,offline_best_MR-2_Heavy,offline_best_MR-2_Small,gradient_rows,gradient_active_rows,gradient_steps,gradient_active_steps,cosine_similarity_mean,cosine_similarity_median,cosine_similarity_min,cosine_similarity_max,gradient_conflict_rate,gradient_conflict_rate_module_rows,det_gradient_norm_mean,det_gradient_norm_median,odam_gradient_norm_mean,odam_gradient_norm_median,final_aux_gradient_norm_mean,final_aux_gradient_norm_median,final_gradient_norm,gradient_norm_ratio_mean,gradient_norm_ratio_median,gradient_norm_ratio_max,projection_rate,projection_rate_module_rows,norm_cap_rate,norm_cap_rate_module_rows,unsafe_descent_rate_module_rows,gate_mean,alpha_mean,effective_weight_mean,gradient_scope,xai_source,bbox_energy_ratio_mean,bbox_energy_ratio_median,bbox_energy_ratio_final_epoch,bbox_energy_samples,bbox_energy_final_samples,pointing_game,pointing_game_final_epoch,saliency_iou,saliency_iou_final_epoch,detection_match_iou_mean,detection_match_iou_final_epoch
baseline,baseline,baseline,,30,30,,,2,,,,,,746.2837575515111,745.0145283937454,22388.512726545334,nan,nan,nan,nan,0.052531595082480856,25.0,0.051191764255214524,0.15465398610503261,27.0,0.15140868973520205,0.02733640671909644,25.0,0.024405882226587242,0.0016954976646825742,23.0,0.0014419825415039427,0.04168844080694771,27.0,0.04096389103991511,0.11575158658291411,24.0,0.10998139401397901,0.021412733607855557,25.0,0.021191004117833385,0.09154260373772569,27.0,0.09021222679759264,0.17526132404181183,25.0,0.1680076021539436,0.9579011411493116,25.0,0.9595675964113095,nan,nan,nan,nan,nan,nan,0.2524073704817253,0.22440819730249403,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,0.5,0.5,CityPersons-style converted-COCO subsets: Reasonable h>=50 vis>=0.65; Heavy h>=50 and 0.20<=vis<0.65; Small 50<=h<75 vis>=0.65. Ignored/excluded boxes suppress detections by IoA.,29,outputs/baseline/predictions_epoch_029.json,0.051191764255214524,0.15140868973520205,0.024405882226587242,0.0014419825415039427,0.04096389103991511,0.10998139401397901,0.021191004117833385,0.09021222679759264,0.1680076021539436,0.9439341227294116,0.8956936015233895,0.9485157793717578,0.9839123752382468,25,outputs/baseline/predictions_epoch_025.json,0.052531595082480856,0.152377106537575,0.02733640671909644,0.0015527538009582737,0.04168163559873899,0.11421753844326371,0.021412733607855557,0.09056065885334177,0.17526132404181183,0.9439663046275684,0.8964446093830586,0.94818314123537,0.9871729457065973,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,odam_quality_epoch,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan
E0,e0,odam,E0,30,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3,2,False,False,False,False,False,693.2450029850006,696.0094600915909,20797.35008955002,nan,nan,nan,nan,0.030881486942962572,26.0,0.030607961632846067,0.10392399280046634,28.0,0.10182357835128002,0.013520213690706629,17.0,0.013108652607621289,0.0004134901751457491,27.0,0.0003619613411469747,0.02560982185965972,29.0,0.02560982185965972,0.06382895935348655,26.0,0.062120832704811654,0.01444409249287298,26.0,0.014127336078555592,0.06331960722204624,22.0,0.062432689261957566,0.14773519163763066,10.0,0.14415584415584415,0.9769462597611792,27.0,0.9778707679534042,0.8993481661693772,5.0,0.8732187961781182,0.6256470282225345,5.0,0.6191690393437138,0.27451420680352706,0.26178679210224665,0.18428135572503132,0.1838171789524847,0.3113704783300706,0.29855022823379174,0.3113704783300706,0.29855022823379174,21.753396099529255,23.25689307330195,21.753396099529255,23.25689307330195,0.9377718000448331,0.9428379287155346,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,0.5,0.5,CityPersons-style converted-COCO subsets: Reasonable h>=50 vis>=0.65; Heavy h>=50 and 0.20<=vis<0.65; Small 50<=h<75 vis>=0.65. Ignored/excluded boxes suppress detections by IoA.,29,outputs/e0/predictions_epoch_029.json,0.030607961632846067,0.10182357835128002,0.013108652607621289,0.0003619613411469747,0.02560982185965972,0.062120832704811654,0.014127336078555592,0.062432689261957566,0.14415584415584415,0.966833246212504,0.9380361722428747,0.9698719558472005,0.9924371624671,26,outputs/e0/predictions_epoch_026.json,0.030881486942962572,0.10218516318781909,0.013028139378241151,0.00034675882079568344,0.024023874405753737,0.06382895935348655,0.01444409249287298,0.06221095977193538,0.14440924928729806,0.9665893129965651,0.9371951397999867,0.970490320331292,0.9930997921066637,5400,4690,900,826,-0.01182686165309621,0.0,-0.9050850337974468,0.8959437129140436,0.8813559322033898,0.3773987206823028,9.995248682869237,3.5445470809936523,1.2008120045146506,0.4647831618785858,0.24016240090293015,0.09295663237571716,nan,0.31780777528542836,0.11282292960536863,10.916888029397125,0.0,0.0,0.0,0.0,0.367590618336887,1.0,0.2,0.2,global_ddp_mean,odam_quality_epoch,0.8707248955946945,0.8972312942077223,0.8732187961781182,37226,1421,nan,nan,nan,nan,0.6157896303992214,0.6191690393437138
E1,e1,odam,E1,30,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3,2,True,False,False,False,False,661.5946414470673,669.0383188724518,19847.839243412018,nan,nan,nan,nan,0.03311209415314895,20.0,0.03257162552869602,0.10564192962881637,28.0,0.10525190240386091,0.013928808932061242,20.0,0.013602120472086799,0.0009984320946627282,16.0,0.0008881956590347434,0.027841258424704717,28.0,0.026892056880372328,0.06588714145236477,20.0,0.06306199761517446,0.013398796325625595,23.0,0.012733607855559076,0.06503009185936015,23.0,0.06354133671206842,0.1501425403864428,28.0,0.14909724421919543,0.9747368902489107,27.0,0.9760191952522643,0.8687102563034204,5.0,0.8577248388250076,0.6304701681768041,5.0,0.6164417075361198,0.2738116283771925,0.2615271517017351,0.1672486272811759,0.19074651847023877,0.3045193827158967,0.2996764551195558,0.3045193827158967,0.2996764551195558,19.600784577449005,23.17350369872226,19.600784577449005,23.17350369872226,0.8142456848240305,0.9435104236718225,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,0.5,0.5,CityPersons-style converted-COCO subsets: Reasonable h>=50 vis>=0.65; Heavy h>=50 and 0.20<=vis<0.65; Small 50<=h<75 vis>=0.65. Ignored/excluded boxes suppress detections by IoA.,29,outputs/e1/predictions_epoch_029.json,0.03257162552869602,0.10525190240386091,0.013602120472086799,0.0008881956590347434,0.026892056880372328,0.06306199761517446,0.012733607855559076,0.06354133671206842,0.14909724421919543,0.9652255853100883,0.9353831501582089,0.9710217663002104,0.9908038198514026,20,outputs/e1/predictions_epoch_020.json,0.03311209415314895,0.10291549939628725,0.013928808932061242,0.0007541292454089919,0.027009160357854833,0.06588714145236477,0.013335445042762115,0.06426987646499842,0.1457396262274311,0.9651143869124787,0.9354426852235529,0.9711540077177276,0.9908038198514026,5400,4078,900,721,0.0003771604069380508,0.0,-0.9335213510085294,0.9492400272660184,0.8599167822468793,0.36733692986758215,6.080041585467726,3.293009042739868,1.3615810941661775,0.5231929421424866,0.24936443126174207,0.0918405830860138,nan,0.36497380408698776,0.13828106908405285,25.755680562005526,0.0,0.0,0.0,0.0,0.3624325649828347,1.0,0.18518735036657408,0.18518735036657408,global_ddp_mean,odam_quality_epoch,0.8538049818245159,0.8833570897902119,0.8577248388250076,37847,1463,nan,nan,nan,nan,0.6159779802966779,0.6164417075361198
E2,e2,odam,E2,30,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3,2,True,True,False,False,False,638.6185262282689,642.7610863447189,19158.55578684807,nan,nan,nan,nan,0.03233853541213129,15.0,0.03154228736360164,0.1057033517231702,29.0,0.1057033517231702,0.013798445301188306,13.0,0.009783667296592033,0.0005643921352384616,25.0,0.0005185640902509169,0.028267089058596196,28.0,0.027910745724944445,0.06194597319905759,10.0,0.05899231009445067,0.014127336078555592,24.0,0.013873930947101678,0.06788089958821666,13.0,0.06534684827367754,0.1566360468799493,12.0,0.14969908140639848,0.9772982572941237,26.0,0.9773758961107621,0.9631961842270581,0.0,0.8137243836645478,0.6645145416259766,0.0,0.6185161896941628,0.2751815133926634,0.26244377499372995,0.00378518294238824,0.006267367762263679,0.2759365765904403,0.26369724863317806,0.2759365765904403,0.26369724863317806,19.7234476574759,23.30733019502354,0.0817978031831428,0.12239408204438466,0.002875787478480618,0.004335650795270271,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,0.5,0.5,CityPersons-style converted-COCO subsets: Reasonable h>=50 vis>=0.65; Heavy h>=50 and 0.20<=vis<0.65; Small 50<=h<75 vis>=0.65. Ignored/excluded boxes suppress detections by IoA.,29,outputs/e2/predictions_epoch_029.json,0.03154228736360164,0.1057033517231702,0.009783667296592033,0.0005185640902509169,0.027910745724944445,0.05899231009445067,0.013873930947101678,0.06534684827367754,0.14969908140639848,0.9670582705577488,0.9382503250777336,0.9726159168414092,0.9927581684957086,15,outputs/e2/predictions_epoch_015.json,0.03233853541213129,0.10334766026781705,0.01372331796148604,0.00039317723131514193,0.027617719856652796,0.06083148371074323,0.013588850174216027,0.06560025340513145,0.1562876148242002,0.9679880538011321,0.9395023171301874,0.9732368219096618,0.9944077242434213,5400,240,900,46,-0.014196605593249501,0.0,-0.5426671680974845,0.6579032249724731,0.7391304347826086,0.39166666666666666,7.667427767813206,4.490538597106934,0.9720239499741498,1.0994312404921658e-10,0.19207199773139785,2.1988624809843318e-11,nan,0.16984871592606215,1.6171045035328073e-11,2.2617727192949126,0.0,0.0,0.0,0.0,0.275,1.0,0.19847707913023985,0.19847707913023985,global_ddp_mean,odam_quality_epoch,0.8177301493766113,0.8444142636262757,0.8137243836645479,37773,1479,nan,nan,nan,nan,0.6187404711400564,0.6185161896941628
E3,e3,dpga,E3,30,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3,2,True,True,True,False,False,956.1500377019246,987.7224777936935,28684.50113105774,nan,nan,nan,nan,0.03136349758229134,23.0,0.030213251676788316,0.10560454205329502,29.0,0.10560454205329502,0.013802312856970011,15.0,0.007703382087614296,0.0013239128632703706,7.0,0.0006277813961050187,0.026864382299249027,24.0,0.02670431274088626,0.06268220977916349,23.0,0.06153622391078414,0.013240418118466898,25.0,0.013177066835603421,0.06721571111815014,28.0,0.0669306303452645,0.15340513145391194,15.0,0.15052264808362367,0.976460329601337,27.0,0.9765960178810488,0.8705681639455987,0.0,0.7695371629368546,0.639285224214406,5.0,0.6199362727892958,0.2748167146068868,0.2622704766244485,0.0029986499650432987,0.004926977123807082,0.277815364508615,0.26719745376370296,0.277815364508615,0.26719745376370296,19.65789060748711,23.282111634162742,0.06951356198161847,0.11129791526563551,0.002524239196350418,0.0037209849028642054,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,0.5,0.5,CityPersons-style converted-COCO subsets: Reasonable h>=50 vis>=0.65; Heavy h>=50 and 0.20<=vis<0.65; Small 50<=h<75 vis>=0.65. Ignored/excluded boxes suppress detections by IoA.,29,outputs/e3/predictions_epoch_029.json,0.030213251676788316,0.10560454205329502,0.007703382087614296,0.0006277813961050187,0.02670431274088626,0.06153622391078414,0.013177066835603421,0.0669306303452645,0.15052264808362367,0.9669638093857513,0.9363022703042345,0.9703789175683115,0.9950795149410318,23,outputs/e3/predictions_epoch_023.json,0.03136349758229134,0.10385909819968707,0.013650815610118406,0.0005575269736885475,0.026411287013576368,0.06268220977916349,0.012765283496990815,0.06610706366803927,0.14941400063351282,0.9671587006789528,0.9391285468376485,0.9709731127326114,0.9954081411756255,5400,238,900,46,0.006313538730551465,0.0,-0.6479184031486511,0.5392338037490845,0.6086956521739131,0.3025210084033613,6.980412664784103,4.059018135070801,1.5202268247654387,0.21734018623828888,0.29506965751999303,0.043102977322086344,nan,0.3217507515883105,0.051886434205658014,3.9467731902442624,0.6086956521739131,0.3025210084033613,0.0,0.0,0.0,0.6722689075630253,0.19846428147587214,0.13322520857097722,global_ddp_mean,odam_quality_epoch,0.7735616359608642,0.7999867245203425,0.7695371629368546,37552,1452,nan,nan,nan,nan,0.6181802499037781,0.6199362727892958
E4,e4,dpga,E4,30,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3,2,True,True,True,True,False,993.810168202718,1027.9169971942902,29814.305046081543,nan,nan,nan,nan,0.033911555625758566,24.0,0.033333733825021875,0.10750288840530903,26.0,0.10604990128300273,0.013314447685296958,10.0,0.012775084960805937,0.0008266867969402294,15.0,0.0006847493239623609,0.027560143070930365,15.0,0.027109350780682145,0.06390383381568243,25.0,0.06221396283182925,0.014317389927146023,14.0,0.01320874247703516,0.06541019955654101,22.0,0.06373139056065884,0.15121951219512192,28.0,0.1493189737092176,0.9760154954748502,27.0,0.9767548556724761,0.8562188709021158,5.0,0.7885406379244939,0.641372390878879,5.0,0.6182029028461404,0.2744852500656171,0.26237039265918677,0.003774052942952672,0.005470483402670833,0.27825930290977335,0.26784087583659405,0.27825930290977335,0.26784087583659405,19.5947769558395,23.16644250168124,0.07650750952701188,0.12004034969737727,0.0029587484347013762,0.004398521312112246,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,0.5,0.5,CityPersons-style converted-COCO subsets: Reasonable h>=50 vis>=0.65; Heavy h>=50 and 0.20<=vis<0.65; Small 50<=h<75 vis>=0.65. Ignored/excluded boxes suppress detections by IoA.,29,outputs/e4/predictions_epoch_029.json,0.033333733825021875,0.10604990128300273,0.012775084960805937,0.0006847493239623609,0.027109350780682145,0.06221396283182925,0.01320874247703516,0.06373139056065884,0.1493189737092176,0.9676200104881238,0.9393794617420264,0.9710483849620833,0.9940724550330523,24,outputs/e4/predictions_epoch_024.json,0.033911555625758566,0.10736497582809318,0.01282613178691629,0.00073022623440079,0.027191751490020618,0.0637968440560055,0.013810579664238199,0.06455495723788407,0.15033259423503326,0.9661269803717967,0.9378704466490945,0.9715509181537278,0.9947420915849319,5400,254,900,48,0.016111271019555687,0.0,-0.6119920611381531,0.7390391826629639,0.5,0.1968503937007874,7.149863778254178,4.454916715621948,0.9763713990283459,4.935122449589713e-11,0.045814390928185345,8.460845344959214e-12,nan,0.16762878288923047,7.65019124847707e-12,2.39411365432899,0.5,0.1968503937007874,0.5,0.25984251968503935,0.0,0.5354330708661418,0.19856101965062034,0.10593543137152364,global_ddp_mean,odam_quality_epoch,0.78947301638518,0.8135060465573716,0.7885406379244939,37492,1460,nan,nan,nan,nan,0.6165540214346985,0.6182029028461404
E5,e5,dpga,E5,30,30,c025a84028cafcc61a8cdcc23ce4180ce6b9a580,3,2,True,True,True,True,True,1034.3817395687104,1069.4778620004654,31031.45218706131,nan,nan,nan,nan,0.03468196864022687,28.0,0.034350462591104886,0.11010651843815214,28.0,0.10905494853823486,0.01420849489783843,8.0,0.013317875730548961,0.0010232639159899672,6.0,0.0005209567903258971,0.027959541080996048,29.0,0.027959541080996048,0.07033421139996673,29.0,0.07033421139996673,0.014697497624326894,29.0,0.014697497624326894,0.06879949318973708,28.0,0.0667722521381058,0.15530566993981626,10.0,0.15343680709534366,0.974906204639376,29.0,0.974906204639376,0.9535632964873949,0.0,0.8011684045083703,0.6621803045272827,0.0,0.6171187632794854,0.27357993189136665,0.2609129824126659,0.004178684757211158,0.007113668199913132,0.2777586165380241,0.2680266503579401,0.2777586165380241,0.2680266503579401,19.77991481730554,23.363147276395427,0.0926361802286483,0.14458641560188298,0.00320189315220268,0.004794584636694846,nan,nan,nan,not_available,saved_predictions,data/coco/valid/_annotations.coco.json,0.5,0.5,CityPersons-style converted-COCO subsets: Reasonable h>=50 vis>=0.65; Heavy h>=50 and 0.20<=vis<0.65; Small 50<=h<75 vis>=0.65. Ignored/excluded boxes suppress detections by IoA.,29,outputs/e5/predictions_epoch_029.json,0.034350462591104886,0.10905494853823486,0.013317875730548961,0.0005209567903258971,0.027959541080996048,0.07033421139996673,0.014697497624326894,0.0667722521381058,0.15343680709534366,0.9657602361667464,0.9355920956237844,0.96888633728113,0.996393748668715,28,outputs/e5/predictions_epoch_028.json,0.03468196864022687,0.11010651843815214,0.013948958757380996,0.0006564778244027673,0.026551000113135867,0.06874388804895006,0.014190687361419069,0.06879949318973708,0.15498891352549887,0.9659778763035767,0.9365111876864003,0.9710774077153859,0.9967208643826012,5400,316,900,61,0.024635669726677994,0.0,-0.6389884352684021,0.5737220644950867,0.5901639344262295,0.25949367088607594,7.380795678760432,4.6815032958984375,1.0778218137122844,2.2467726984443104e-10,0.03755065825073466,3.360997234581093e-11,nan,0.17284925220756736,1.686153707374736e-10,2.3910310355935285,0.5901639344262295,0.25949367088607594,0.5901639344262295,0.3037974683544304,0.0,0.34401006414260293,0.19884335123815686,0.06806923967750766,global_ddp_mean,odam_quality_epoch,0.8048848207740134,0.8266605873663055,0.8011684045083703,38573,1499,nan,nan,nan,nan,0.6169017559804034,0.6171187632794854
