run,run_dir,gradient_rows,gradient_active_rows,gradient_steps,gradient_active_steps,cosine_similarity_mean,cosine_similarity_median,cosine_similarity_min,cosine_similarity_max,gradient_conflict_rate,gradient_conflict_rate_module_rows,det_gradient_norm_mean,det_gradient_norm_median,odam_gradient_norm_mean,odam_gradient_norm_median,final_aux_gradient_norm_mean,final_aux_gradient_norm_median,final_gradient_norm,gradient_norm_ratio_mean,gradient_norm_ratio_median,gradient_norm_ratio_max,projection_rate,projection_rate_module_rows,norm_cap_rate,norm_cap_rate_module_rows,unsafe_descent_rate_module_rows,gate_mean,alpha_mean,effective_weight_mean,gradient_scope
baseline,baseline,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
E0,e0,5400,4690,900,826,-0.01182686165309621,0.0,-0.9050850337974468,0.8959437129140436,0.8813559322033898,0.3773987206823028,9.995248682869237,3.5445470809936523,1.2008120045146506,0.4647831618785858,0.24016240090293015,0.09295663237571716,nan,0.31780777528542836,0.11282292960536863,10.916888029397125,0.0,0.0,0.0,0.0,0.367590618336887,1.0,0.2,0.2,global_ddp_mean
E1,e1,5400,4078,900,721,0.0003771604069380508,0.0,-0.9335213510085294,0.9492400272660184,0.8599167822468793,0.36733692986758215,6.080041585467726,3.293009042739868,1.3615810941661775,0.5231929421424866,0.24936443126174207,0.0918405830860138,nan,0.36497380408698776,0.13828106908405285,25.755680562005526,0.0,0.0,0.0,0.0,0.3624325649828347,1.0,0.18518735036657408,0.18518735036657408,global_ddp_mean
E2,e2,5400,240,900,46,-0.014196605593249501,0.0,-0.5426671680974845,0.6579032249724731,0.7391304347826086,0.39166666666666666,7.667427767813206,4.490538597106934,0.9720239499741498,1.0994312404921658e-10,0.19207199773139785,2.1988624809843318e-11,nan,0.16984871592606215,1.6171045035328073e-11,2.2617727192949126,0.0,0.0,0.0,0.0,0.275,1.0,0.19847707913023985,0.19847707913023985,global_ddp_mean
E3,e3,5400,238,900,46,0.006313538730551465,0.0,-0.6479184031486511,0.5392338037490845,0.6086956521739131,0.3025210084033613,6.980412664784103,4.059018135070801,1.5202268247654387,0.21734018623828888,0.29506965751999303,0.043102977322086344,nan,0.3217507515883105,0.051886434205658014,3.9467731902442624,0.6086956521739131,0.3025210084033613,0.0,0.0,0.0,0.6722689075630253,0.19846428147587214,0.13322520857097722,global_ddp_mean
E4,e4,5400,254,900,48,0.016111271019555687,0.0,-0.6119920611381531,0.7390391826629639,0.5,0.1968503937007874,7.149863778254178,4.454916715621948,0.9763713990283459,4.935122449589713e-11,0.045814390928185345,8.460845344959214e-12,nan,0.16762878288923047,7.65019124847707e-12,2.39411365432899,0.5,0.1968503937007874,0.5,0.25984251968503935,0.0,0.5354330708661418,0.19856101965062034,0.10593543137152364,global_ddp_mean
E5,e5,5400,316,900,61,0.024635669726677994,0.0,-0.6389884352684021,0.5737220644950867,0.5901639344262295,0.25949367088607594,7.380795678760432,4.6815032958984375,1.0778218137122844,2.2467726984443104e-10,0.03755065825073466,3.360997234581093e-11,nan,0.17284925220756736,1.686153707374736e-10,2.3910310355935285,0.5901639344262295,0.25949367088607594,0.5901639344262295,0.3037974683544304,0.0,0.34401006414260293,0.19884335123815686,0.06806923967750766,global_ddp_mean
