run,run_dir,method,time_per_epoch_mean_s,time_per_epoch_median_s,time_total_s,peak_gpu_memory_gb,inference_ms_per_image,fps,num_parameters
baseline,baseline,baseline,746.2837575515111,745.0145283937454,22388.512726545334,nan,nan,nan,nan
E0,e0,odam,693.2450029850006,696.0094600915909,20797.35008955002,nan,nan,nan,nan
E1,e1,odam,661.5946414470673,669.0383188724518,19847.839243412018,nan,nan,nan,nan
E2,e2,odam,638.6185262282689,642.7610863447189,19158.55578684807,nan,nan,nan,nan
E3,e3,dpga,956.1500377019246,987.7224777936935,28684.50113105774,nan,nan,nan,nan
E4,e4,dpga,993.810168202718,1027.9169971942902,29814.305046081543,nan,nan,nan,nan
E5,e5,dpga,1034.3817395687104,1069.4778620004654,31031.45218706131,nan,nan,nan,nan
