epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2120.02,1.71152,2.21109,1.95159,0.58988,0.54993,0.58593,0.28602,1.64893,1.84862,1.96056,0.000660045,0.000660045,0.000660045
43,2169.95,1.71909,2.20657,1.95485,0.61277,0.55583,0.58238,0.27251,1.68037,1.8516,1.98347,0.000649046,0.000649046,0.000649046
44,2219.96,1.72552,2.19279,1.95792,0.58012,0.60088,0.5972,0.30444,1.62875,1.82533,1.94694,0.000638047,0.000638047,0.000638047
45,2270,1.72109,2.18696,1.95814,0.56111,0.55203,0.56583,0.27623,1.63176,1.87254,1.94168,0.000627048,0.000627048,0.000627048
46,2320.01,1.7242,2.18518,1.9705,0.55605,0.535,0.53373,0.25366,1.67219,2.0381,1.98786,0.000616049,0.000616049,0.000616049
47,2370.18,1.70223,2.14896,1.94646,0.62407,0.57789,0.60181,0.30078,1.62559,1.79768,1.93823,0.000605051,0.000605051,0.000605051
48,2420.02,1.69914,2.12907,1.92667,0.63007,0.58267,0.60464,0.28437,1.6514,1.81412,1.95057,0.000594052,0.000594052,0.000594052
49,2469.74,1.70785,2.12243,1.92753,0.6074,0.576,0.59465,0.28499,1.65908,1.87567,1.95821,0.000583053,0.000583053,0.000583053
50,2519.55,1.70533,2.15209,1.94924,0.58937,0.58255,0.6067,0.30868,1.62999,1.76881,1.93208,0.000572054,0.000572054,0.000572054
51,2569.53,1.70562,2.11959,1.93316,0.64003,0.60917,0.6347,0.3102,1.62025,1.75177,1.90628,0.000561055,0.000561055,0.000561055
52,2619.13,1.6924,2.09566,1.92126,0.67145,0.57579,0.63315,0.31633,1.6198,1.76187,1.92555,0.000550056,0.000550056,0.000550056
53,2668.17,1.69229,2.08681,1.91416,0.66726,0.59956,0.64429,0.33135,1.58471,1.71581,1.89006,0.000539057,0.000539057,0.000539057
54,2717.27,1.66589,2.05677,1.90134,0.61903,0.60965,0.62566,0.3125,1.60423,1.70868,1.91923,0.000528058,0.000528058,0.000528058
55,2766.25,1.65963,2.02509,1.89918,0.65338,0.60294,0.6459,0.31476,1.63478,1.68607,1.95407,0.000517059,0.000517059,0.000517059
56,2815.51,1.68552,2.02087,1.90556,0.64379,0.62663,0.66791,0.33652,1.60499,1.68162,1.91015,0.00050606,0.00050606,0.00050606
57,2864.79,1.67006,2.03064,1.8975,0.64645,0.61983,0.65203,0.32989,1.61467,1.66652,1.91484,0.000495062,0.000495062,0.000495062
58,2913.93,1.6716,2.03197,1.89898,0.59652,0.62917,0.63699,0.31893,1.61178,1.71299,1.9058,0.000484063,0.000484063,0.000484063
59,2963.18,1.6642,2.00234,1.90527,0.66131,0.62143,0.66614,0.33975,1.58804,1.65215,1.89971,0.000473064,0.000473064,0.000473064
60,3012.43,1.6313,1.98171,1.87165,0.699,0.61459,0.67867,0.34845,1.58441,1.61594,1.9027,0.000462065,0.000462065,0.000462065
61,3061.43,1.65127,2.0084,1.87409,0.64165,0.62896,0.65513,0.3303,1.60283,1.64879,1.90729,0.000451066,0.000451066,0.000451066
62,3110.49,1.62536,1.95618,1.8584,0.65723,0.62511,0.66471,0.34221,1.58032,1.65604,1.88131,0.000440067,0.000440067,0.000440067
63,3159.64,1.62834,1.92462,1.86657,0.6655,0.643,0.67842,0.35,1.59619,1.58618,1.89333,0.000429068,0.000429068,0.000429068
64,3208.62,1.62243,1.93508,1.87003,0.67728,0.62704,0.68542,0.35478,1.57988,1.60301,1.88426,0.000418069,0.000418069,0.000418069
65,3257.48,1.62938,1.91047,1.87036,0.6775,0.6464,0.67958,0.35345,1.59531,1.61968,1.90048,0.00040707,0.00040707,0.00040707
66,3306.44,1.62882,1.91311,1.86277,0.66081,0.65282,0.68508,0.35347,1.5995,1.5866,1.91061,0.000396071,0.000396071,0.000396071
67,3355.36,1.64392,1.9283,1.86688,0.69433,0.63625,0.69387,0.36308,1.58337,1.55738,1.88952,0.000385073,0.000385073,0.000385073
68,3405,1.61967,1.92086,1.85601,0.70455,0.62309,0.69014,0.3572,1.60524,1.57557,1.90208,0.000374074,0.000374074,0.000374074
69,3454.17,1.62786,1.86338,1.85139,0.6683,0.6681,0.69446,0.36243,1.58812,1.57194,1.87611,0.000363075,0.000363075,0.000363075
70,3503.83,1.60356,1.86279,1.83519,0.71008,0.62682,0.67995,0.35506,1.59045,1.57254,1.89631,0.000352076,0.000352076,0.000352076
71,3553.15,1.57178,1.81693,1.80396,0.6807,0.64089,0.69306,0.36052,1.58983,1.54375,1.88952,0.000341077,0.000341077,0.000341077
72,3602.81,1.57187,1.85739,1.81673,0.67685,0.65167,0.69646,0.36107,1.57956,1.56007,1.88476,0.000330078,0.000330078,0.000330078
73,3652.63,1.60275,1.82423,1.83352,0.64681,0.64636,0.68049,0.3519,1.60561,1.57529,1.89634,0.000319079,0.000319079,0.000319079
74,3702.66,1.58501,1.82312,1.82189,0.67904,0.65855,0.69847,0.36884,1.59483,1.5262,1.89684,0.00030808,0.00030808,0.00030808
