epoch,method,lr,seconds,loss_det,loss_odam,raw_loss_sum,loss_proxy,loss_total_objective,odam_num_candidates,odam_num_kept,odam_keep_ratio,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic,ODAM_quality,ODAM_quality_samples,ODAM_quality_mean_iou
0,odam,0.0001,613.1923742294312,0.451030454047841,0.0,0.451030454047841,0.451030454047841,0.451030454047841,0.0,0.0,0.0,0.0010466760961810467,0.0028288543140028285,0.0,0.0,0.0014851485148514852,0.0039603960396039604,0.00022172949002217295,0.0003167564143173899,0.0003167564143173899,0.9991201123938298,0.9631961842270581,3.0,0.6645145416259766
1,odam,0.0001,626.0751080513,0.305441178402581,0.0,0.305441178402581,0.305441178402581,0.305441178402581,0.0,0.0,0.0,0.0009916988489980156,0.004753830121166128,7.882177466674074e-05,9.791934465213624e-06,0.001840618779553454,0.0011976981313922001,0.001330376940133038,0.013652201457079507,0.03579347481786506,0.9998591400313714,0.8233874832323714,480.0,0.5909668906281392
2,odam,0.0001,634.0434746742249,0.29041808510384576,0.0,0.29041808510384576,0.29041808510384576,0.29041808510384576,0.0,0.0,0.0,0.006592601363824594,0.030118986277745764,0.0005185653358385576,0.0,0.005679650380981915,0.012328748472384467,0.004783021856192588,0.025657269559708585,0.07988596769084574,0.994024276762201,0.8354184905615711,992.0,0.5969625028871721
3,odam,0.0001,628.2301814556122,0.28479583059738517,0.0,0.28479583059738517,0.28479583059738517,0.28479583059738517,0.0,0.0,0.0,0.010021879537364328,0.03654059389653086,0.0008036681131344264,5.785076142985488e-05,0.007929023597054915,0.018066315619079478,0.007538802660753879,0.034273044029141594,0.07646499841621793,0.991580407945296,0.8384356245737005,849.0,0.6118113313603036
4,odam,0.0001,629.5326528549194,0.2843410050640197,1.3733002098518967e-05,0.28434102167876435,0.28434102167876435,0.28434102167876435,19.554472091459314,0.0006724949562878278,3.4486921284931496e-05,0.013886252618237198,0.04629203300632572,0.0030097672209046405,2.7972420284446008e-05,0.011931467926691029,0.024824799271489312,0.00785555907507127,0.03889768767817549,0.08758314855875832,0.9889882512763318,0.8346575993070129,1014.0,0.6111063258887748
5,odam,0.0001,614.805508852005,0.2844030003934891,7.581604599659741e-05,0.28440939262086584,0.28440939262086584,0.28440939262086584,20.489912575655683,0.004034969737726967,0.0003405673136256971,0.009986512254774512,0.017962733716437713,0.01014485685021704,0.0,0.005605746255774658,0.020458644838809565,0.006620209059233449,0.024326892619575546,0.028539752929996838,0.9990497307570478,0.852980901392433,314.0,0.6268184181231602
6,odam,0.0001,633.736180305481,0.2787548920583411,0.0004474373857106164,0.2788169038970219,0.2788169038970219,0.2788169038970219,20.829186281102892,0.0121049092131809,0.0003632970947193554,0.016457522091504376,0.05781223039179056,0.0018789297892427355,7.097171289499333e-05,0.013010923727997155,0.03378855073441442,0.008900855242318656,0.04583465315172632,0.1046246436490339,0.9865178735852281,0.8141513024083215,1182.0,0.6047758583590868
7,odam,1e-05,637.7531054019928,0.27902934980197375,0.0008863386769608397,0.2791863889810991,0.2791863889810991,0.2791863889810991,21.273705447209146,0.02151983860121049,0.0009868223581490656,0.02478883911640941,0.08166603884968518,0.007286289225996958,0.00040794405321664147,0.023835152374561942,0.04432613126167818,0.010516312955337346,0.05815647766867279,0.1325942350332594,0.9841204555834354,0.8198076450760924,1315.0,0.6161965633526502
8,odam,1e-05,629.9293518066406,0.26615554308074085,0.002081293601202801,0.26657180192303503,0.26657180192303503,0.26657180192303503,22.634498991257566,0.05211835911230666,0.00202698137162713,0.026315222948148462,0.08180683212601558,0.009350323577736465,8.394019018244682e-05,0.022546405856810798,0.05169328883356192,0.011878365536902122,0.05869496357301236,0.1207158694963573,0.9811739331016732,0.8242232823345982,1187.0,0.620869203134053
9,odam,1e-05,633.6011211872101,0.26556933378584985,0.0032145061528964245,0.2662122350159648,0.2662122350159648,0.2662122350159648,22.857094821788838,0.08238063214525891,0.002919147187554564,0.02835459756499507,0.09425866800085986,0.007902996979890324,0.00029039423322512636,0.02503301520787748,0.056825997922952814,0.012955337345581247,0.06369971491922712,0.1310421286031042,0.9786723462367048,0.8270374309015915,1285.0,0.6201230557512216
10,odam,1.0000000000000002e-06,639.0805270671844,0.2659283453201225,0.004066857845591964,0.2667417171495455,0.2667417171495455,0.2667417171495455,23.019166106254204,0.09112306657700067,0.0031351100051526305,0.031559593003023856,0.100333586469663,0.01378320230930271,0.0003249436618912714,0.025485845408845794,0.06194597319905759,0.013747228381374724,0.06651884700665188,0.1514729173265759,0.9789050292909948,0.8155200463929195,1419.0,0.6249936436413879
11,odam,1.0000000000000002e-06,640.6978514194489,0.26426820705963266,0.005483080608590363,0.2653648233401765,0.2653648233401765,0.2653648233401765,23.12979152656355,0.10188298587760591,0.003274613385738225,0.031124544924928357,0.10157469136789665,0.013368397564750207,0.00041021659527514957,0.02676336469811758,0.05949447912099707,0.014000633512828636,0.06645549572378841,0.15350015837820713,0.9783024053790831,0.8165826581297518,1435.0,0.6234760157322634
12,odam,1.0000000000000002e-06,641.738386631012,0.26352551789195217,0.005186240562143676,0.26456276618511676,0.26456276618511676,0.26456276618511676,23.125756556825824,0.10591795561533289,0.00355770206016256,0.03184506737825953,0.10230337579371285,0.01345001158026291,0.0003517594388523781,0.02802203590030102,0.06045365079695173,0.013588850174216027,0.06712068419385492,0.1566360468799493,0.9784231719806796,0.8159532053387993,1455.0,0.622319152142174
13,odam,1.0000000000000002e-06,642.7427229881287,0.26398671293996334,0.00468349684502564,0.2649234127569267,0.2649234127569267,0.2649234127569267,23.18123739071957,0.10558170813718896,0.003719492967628198,0.032307033537166845,0.10400090850652349,0.013798445301188306,0.00043338490537569774,0.02732877505985805,0.061909664291112006,0.014063984795692114,0.06788089958821666,0.15511561609122584,0.9785192903873554,0.8157703081754077,1449.0,0.6224248043580908
14,odam,1.0000000000000002e-06,641.9312078952789,0.26318764013207563,0.0049307072783400935,0.2641737818365344,0.2641737818365344,0.2641737818365344,23.109616677874914,0.10524546065904505,0.0037828964558909144,0.03141805036748445,0.10117464048208176,0.013503574215505354,0.0003563463880903489,0.026414775074064402,0.0599456198942654,0.013082039911308204,0.0653151726322458,0.15042762115932845,0.9787380721744802,0.8147986075275022,1422.0,0.6198337297734664
15,odam,1.0000000000000002e-06,644.3408796787262,0.263690109898774,0.004810394016249517,0.2646521888559004,0.2646521888559004,0.2646521888559004,23.196368527236046,0.11197041022192333,0.004037313738232823,0.03233853541213129,0.10334766026781705,0.01372331796148604,0.00039317723131514193,0.027617719856652796,0.06083148371074323,0.013588850174216027,0.06560025340513145,0.1562876148242002,0.9781020704513731,0.8155895174531487,1463.0,0.6226977423617714
16,odam,1.0000000000000002e-06,642.7794497013092,0.2630267600794608,0.0053883387968721745,0.2641044280178771,0.2641044280178771,0.2641044280178771,23.15366509751177,0.10995292535305985,0.0035451251866888424,0.03133090722783914,0.10351965758334578,0.009891716601789013,0.0003782774498939402,0.02747257427600854,0.06008747311493777,0.012923661704149509,0.06759581881533101,0.1548305353183402,0.9779544609373546,0.8158536416266581,1450.0,0.6207488600550026
17,odam,1.0000000000000002e-06,644.833012342453,0.26361485848813326,0.005003372629250371,0.264615533196398,0.264615533196398,0.264615533196398,23.20376597175521,0.11062542030934767,0.003700340624833536,0.030119357634378525,0.10157422462724404,0.008794665467130246,0.000414951390617174,0.027579714139435586,0.05742814901684805,0.013050364269876467,0.06582198289515363,0.154006968641115,0.9794527963673134,0.8138200653597342,1468.0,0.6200760186368178
18,odam,1.0000000000000002e-06,643.5962753295898,0.26367693999782205,0.005431478511907182,0.26476323557579196,0.26476323557579196,0.26476323557579196,23.240753194351043,0.10659045057162071,0.00394654351617908,0.030443394961146137,0.10129854374141332,0.008664467083090203,0.00038941204881705647,0.02760613004915004,0.05834041601304631,0.013050364269876467,0.06651884700665188,0.1544187519797276,0.9786721132726571,0.8143552060438273,1462.0,0.619963300007965
19,odam,1.0000000000000002e-06,643.221563577652,0.26264966383251337,0.005052084757774158,0.26366008110435224,0.26366008110435224,0.26366008110435224,23.22595830531271,0.1183591123066577,0.004099153102173269,0.030586674093438,0.10114184004423578,0.01059837989664054,0.0005551169138800937,0.0268237706218875,0.05877808358094431,0.01320874247703516,0.06683560342096928,0.15315172632245805,0.9786776826835124,0.8168840407328117,1448.0,0.6198252507830193
20,odam,1.0000000000000002e-06,643.5611670017242,0.26281526293583646,0.005386652920364545,0.2638925934335995,0.2638925934335995,0.2638925934335995,23.207464694014796,0.11499663752521856,0.004165482931227374,0.030674835714393115,0.10226252231882137,0.010516663358353934,0.00038528641019345145,0.027232659877643683,0.05843464899907329,0.013652201457079505,0.06655052264808362,0.1533417801710485,0.978522843001272,0.8129944166562637,1449.0,0.6199700988268672
21,odam,1.0000000000000002e-06,643.7309727668762,0.2629815345915334,0.0051988258191205915,0.2640212998581736,0.2640212998581736,0.2640212998581736,23.222595830531272,0.11230665770006724,0.004145180296388323,0.030798355098903777,0.10395829606297077,0.01020430862092957,0.0005640809702874649,0.02724938789033963,0.05840978626619752,0.012511878365536902,0.0660437123851758,0.15422869813113718,0.9782686636661603,0.8162184816536352,1463.0,0.6201074769540919
22,odam,1.0000000000000002e-06,642.988055229187,0.2631079262838384,0.00566299244019564,0.26424052492291406,0.26424052492291406,0.26424052492291406,23.233355749831876,0.11802286482851379,0.004175454821555343,0.03058276037954253,0.10162640242418813,0.010687178134918523,0.00046223366627632837,0.02697131068153919,0.05810209364964608,0.013493823249920812,0.06670890085524232,0.15036426987646498,0.9779246816566278,0.815551338050625,1444.0,0.6198881595418724
23,odam,1.0000000000000002e-06,646.0228898525238,0.26274716920045876,0.0056916780211269235,0.26388550461874305,0.26388550461874305,0.26388550461874305,23.23268325487559,0.11802286482851379,0.0036364835715165618,0.030830487252701048,0.10279433815509699,0.010314723982261206,0.00044086580286459005,0.02725330117014759,0.05835667130225548,0.01358885017421603,0.06566360468799494,0.15286664554957236,0.9783874867975976,0.8133943552714787,1469.0,0.6197028809700635
24,odam,1.0000000000000002e-06,647.1092176437378,0.26300544680015414,0.005739245568151686,0.26415329614138106,0.26415329614138106,0.26415329614138106,23.260928043039677,0.12273032952252858,0.00410997501380927,0.03158040747063455,0.10478505281908593,0.010282458700342416,0.0004497625108711834,0.028072433505735354,0.05944991327419863,0.014127336078555592,0.06689895470383275,0.15384859043395627,0.9780848416085883,0.8138148666161451,1477.0,0.6210214276530086
25,odam,1.0000000000000002e-06,644.7325420379639,0.26290589066036923,0.005599951317115437,0.26402588106820857,0.26402588106820857,0.26402588106820857,23.26227303295225,0.12878278412911903,0.004694328683152264,0.030771990604612314,0.10376939846631357,0.010254693027971334,0.0005643921352384616,0.027383350510533578,0.05808850041301646,0.013462147608489072,0.06670890085524232,0.15302502375673105,0.9781684319450791,0.8139790011532713,1481.0,0.6196642809023655
26,odam,1.0000000000000002e-06,644.8430421352386,0.2630036398207878,0.0052216507303655115,0.2640479704156573,0.2640479704156573,0.2640479704156573,23.261264290517822,0.11936785474108944,0.0042097873527934945,0.03130220097917354,0.10333269178491994,0.010281000426189126,0.0004882113218047488,0.027531291202998357,0.05951857716509109,0.013493823249920812,0.06712068419385493,0.1517579980994615,0.9772982572941237,0.8169983996180993,1455.0,0.6204713591185632
27,odam,1.0000000000000002e-06,645.9094634056091,0.2628584459603143,0.005591365559926215,0.263976719375091,0.263976719375091,0.263976719375091,23.282447881640888,0.12474781439139207,0.004361467010691691,0.030890809880239175,0.10240517390921171,0.01049290807727146,0.0005445523435544452,0.02742932394193922,0.05786640057305102,0.01384225530566994,0.06607538802660755,0.15071270193221412,0.97770983283182,0.8136404007912719,1470.0,0.6217963553610302
