epoch,step,rank,method,module,loss_det,loss_odam,gradient_scope,world_size,cosine_raw,det_norm,det_gradient_norm,odam_norm_raw,raw_odam_norm,projected_odam_norm,capped_odam_norm,final_odam_norm,odam_norm_safe,aux_to_det_raw,aux_to_det_projected,aux_to_det_capped,aux_to_det_final,aux_to_det_effective,directional_margin,aux_directional_margin,final_alignment_margin,final_cosine_to_det,final_angle_deg,conflict_raw,dominance_raw,dominance_effective,unsafe_descent,aux_unsafe,projected,cap_active,norm_scale,gate,alpha,effective_weight
0,0,0,odam,backbone,19.16931915283203,-0.0,global_ddp_mean,2,0.0,1152.1146240234375,1152.1146240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000136445446,1.0000000136445446,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,0,0,odam,fpn,19.16931915283203,-0.0,global_ddp_mean,2,0.0,486.54119873046875,486.54119873046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000240278064,1.0000000240278064,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,0,0,odam,rpn,19.16931915283203,-0.0,global_ddp_mean,2,0.0,485.7654113769531,485.7654113769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000507898432,1.0000000507898432,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,0,0,odam,roi_shared,19.16931915283203,-0.0,global_ddp_mean,2,0.0,1470.4986572265625,1470.4986572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999764586031,0.9999999764586031,0.012432364833421429,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,0,0,odam,roi_cls,19.16931915283203,-0.0,global_ddp_mean,2,0.0,1766.97607421875,1766.97607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000170195436,1.0000000170195436,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,0,0,odam,roi_reg,19.16931915283203,-0.0,global_ddp_mean,2,0.0,589.949951171875,589.949951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000685617674,1.0000000685617674,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,100,0,odam,backbone,0.4855760931968689,0.0,global_ddp_mean,2,0.0,9.138623237609863,9.138623237609863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000016221164,1.0000000016221164,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,100,0,odam,fpn,0.4855760931968689,0.0,global_ddp_mean,2,0.0,3.874152898788452,3.874152898788452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000117588443,1.0000000117588443,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,100,0,odam,rpn,0.4855760931968689,0.0,global_ddp_mean,2,0.0,6.557779312133789,6.557779312133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999419559898,0.9999999419559898,0.019521641680790194,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,100,0,odam,roi_shared,0.4855760931968689,0.0,global_ddp_mean,2,0.0,11.265392303466797,11.265392303466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000719016227,1.0000000719016227,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
0,100,0,odam,roi_cls,0.4855760931968689,0.0,global_ddp_mean,2,0.0,11.853787422180176,11.853787422180176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000503511761,1.0000000503511761,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
