epoch,method,lr,seconds,loss_det,loss_odam,raw_loss_sum,loss_proxy,loss_total_objective,odam_num_candidates,odam_num_kept,odam_keep_ratio,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic,ODAM_quality,ODAM_quality_samples,ODAM_quality_mean_iou
0,odam,0.0001,656.5213599205017,0.4470816444284292,0.1915921503084756,0.48540007336774155,0.48540007336774155,0.48540007336774155,10.331203765971756,10.331203765971756,0.9213180901143242,0.0018151815181518152,0.0049504950495049506,0.0,0.0,0.0029702970297029695,0.00396039603960396,0.00019005384859043396,0.00028508077288565093,0.00028508077288565093,0.9992608905426025,0.836911940940228,5.0,0.5952661156654357
1,odam,0.0001,688.5057861804962,0.30100239257509215,0.1886088250852109,0.33872415819164636,0.33872415819164636,0.33872415819164636,15.492602555480834,15.492602555480834,0.9344317417619368,0.0014144732760448906,0.006668805477421624,0.00013174080447773362,1.193321798464515e-05,0.00262228685216772,0.002155472876269979,0.0021856192587899905,0.01571111815014254,0.04238200823566677,0.9990829066576054,0.8560906073315316,579.0,0.5883335551449672
2,odam,0.0001,689.7113132476807,0.2917183385443233,0.18258565042911634,0.3282354684233748,0.3282354684233748,0.3282354684233748,17.56960322797579,17.56960322797579,0.9283792871553463,0.004449180483244929,0.019621063756640893,0.00042707648934521645,7.811903891642945e-05,0.009996596067090496,0.008712355095131696,0.004117833386126069,0.027272727272727275,0.071238517579981,0.9959686325541564,0.8461570053348877,873.0,0.59987357630899
3,odam,0.0001,697.2977969646454,0.2863628186134242,0.18275381510357724,0.32291358230725087,0.32291358230725087,0.32291358230725087,18.594821788836583,18.594821788836583,0.9280430396772025,0.013309587023012026,0.03933369943909304,0.010194473854099608,0.0001827847928193107,0.008221684767985906,0.022242059426102554,0.0062717770034843206,0.032974342730440295,0.0925245486221096,0.9913034811086935,0.8512572036792829,1064.0,0.6012891091238287
4,odam,0.0001,689.7582132816315,0.285526052687133,0.18404059877272758,0.3223341730645298,0.3223341730645298,0.3223341730645298,19.48890383322125,19.48890383322125,0.9310692669804976,0.01202639764710593,0.046453159480834894,0.003647499604193898,1.7565427549423727e-05,0.01407855291885142,0.020911563800302947,0.006493506493506494,0.038327526132404185,0.09347481786506176,0.9900449265836653,0.8673665195373497,1060.0,0.6075219470937298
5,odam,0.0001,670.7424943447113,0.2850594363415209,0.18216521675795116,0.32149247992746205,0.32149247992746205,0.32149247992746205,20.53530598520511,20.53530598520511,0.9485541358439812,0.004885297759230791,0.0170230190650611,0.0002769908131757856,0.0,0.004848529886880479,0.014804172157005767,0.005796642382008237,0.024231865695280328,0.02676591700981945,0.9996832435856826,0.8993481661693772,307.0,0.6256470282225345
6,odam,0.0001,684.1481380462646,0.2818202222650464,0.18413977072844567,0.31864817652265115,0.31864817652265115,0.31864817652265115,20.827841291190317,20.827841291190317,0.9401479488903833,0.014741778509267101,0.05415583489710438,0.0046090937372363985,9.171052192016824e-05,0.012408066020207826,0.03043848823028774,0.008299018055115617,0.04507443775736458,0.09534368070953438,0.987101137001888,0.86950173590663,1086.0,0.6075911698639942
7,odam,1e-05,691.6361401081085,0.27680186552761865,0.1826706658296441,0.3133359989969476,0.3133359989969476,0.3133359989969476,21.18728984532616,21.18728984532616,0.9421654337592468,0.022979380607824843,0.07989693304109736,0.005541564262271951,0.00017660606547808245,0.01975239295868739,0.044017088896579494,0.011118150142540388,0.05460880582831802,0.12584732340829902,0.9827985511936953,0.87561474278198,1256.0,0.6212852589643685
8,odam,1e-05,687.2117331027985,0.26630992638059936,0.18441139142526394,0.3031922050046521,0.3031922050046521,0.3031922050046521,22.61768661735037,22.61768661735037,0.9435104236718225,0.024794096348446988,0.08765457220643376,0.005596359667008293,8.433060375179071e-05,0.022583668137935848,0.05379354022533077,0.01289198606271777,0.058251504592968004,0.11970224897054164,0.9789212848439707,0.881169633687376,1188.0,0.6194951697331085
9,odam,1e-05,689.3068029880524,0.2646273557942551,0.18492651752877226,0.3016126599745598,0.3016126599745598,0.3016126599745598,22.782447881640888,22.782447881640888,0.9377942165433759,0.02731138913717331,0.09413551958005537,0.008900070160663758,0.0002833425345854134,0.022577094075011246,0.05799819414705977,0.01352549889135255,0.06183085207475451,0.13243585682610073,0.9792822587564707,0.87546676944939,1294.0,0.6181825377749512
10,odam,1.0000000000000002e-06,693.0425953865051,0.2650839361575418,0.18482346024775972,0.30204862897928175,0.30204862897928175,0.30204862897928175,22.924008069939475,22.924008069939475,0.9414929388029589,0.027313221107314295,0.09687174531857665,0.006446663039229938,0.0002552952175381,0.024634967972436698,0.056397748326836236,0.01384225530566994,0.06075388026607538,0.14773519163763066,0.9785043884188886,0.8704932592125708,1426.0,0.6170705174413336
11,odam,1.0000000000000002e-06,692.0066859722137,0.26378348989743505,0.18330368265811428,0.300444226841478,0.300444226841478,0.300444226841478,23.119031607262947,23.119031607262947,0.9300605245460659,0.02926451305620371,0.09903719663133133,0.013040589647326357,0.0002617284469787015,0.023276866521244728,0.0573761794282526,0.01415901171998733,0.06122901488755147,0.14082990180551155,0.9783477883845055,0.8713574988406426,1384.0,0.617850711407689
