ar_1,ar_10,ar_100,ar_large,ar_medium,ar_small,checkpoint,checkpoint_epoch,class_1_objects_ap50,class_2_broken_ap50,class_3_chipped_ap50,class_4_scratched_ap50,class_5_severe_rust_ap50,class_6_tip_wear_ap50,combo_index,gt_total,map50,map75,map_50_95,map_large,map_medium,map_small,odam_nms,odam_nms_high_threshold,odam_nms_low_threshold,odam_nms_resize_short_edge,pred_cls_threshold,pred_total,rcnn_detections_per_image,rcnn_nms_threshold,score_threshold,split
0.35828066043915724,0.4433780558903679,0.44346316227334653,0.4777988594235829,0.36334794061302683,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9023640733886484,0.6402399960210055,0.5860622919226479,0.587198073207059,0.8056122816433311,1,758.0,0.7042953432365383,0.17557918325702002,0.287597422036176,0.34421138826336267,0.21601566468469025,0.0,True,0.8,0.2,50,0.05,5025.0,50,0.45,0.001,test
0.35828066043915724,0.4433780558903679,0.44346316227334653,0.4777988594235829,0.36334794061302683,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9023640733886484,0.6402399960210055,0.5860622919226479,0.587198073207059,0.8056122816433311,2,758.0,0.7042953432365383,0.17557918325702002,0.287597422036176,0.34421138826336267,0.21601566468469025,0.0,True,0.8,0.2,50,0.05,5025.0,75,0.45,0.001,test
0.35828066043915724,0.4433780558903679,0.44346316227334653,0.4777988594235829,0.36334794061302683,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9023640733886484,0.6402399960210055,0.5860622919226479,0.587198073207059,0.8056122816433311,3,758.0,0.7042953432365383,0.17557918325702002,0.287597422036176,0.34421138826336267,0.21601566468469025,0.0,True,0.8,0.2,50,0.05,5025.0,100,0.45,0.001,test
0.35828066043915724,0.45670579167103376,0.4573866427348635,0.48787426253687316,0.3819806034482759,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9037776304552768,0.6249279258266474,0.5827228617083531,0.5777269058675527,0.8000272795413914,4,758.0,0.6978365206798443,0.17683956941412746,0.28835600982726267,0.3419503045944017,0.2182915362373008,0.0,True,0.8,0.2,50,0.05,5605.0,50,0.5,0.001,test
0.35828066043915724,0.45670579167103376,0.4573866427348635,0.48787426253687316,0.3819806034482759,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9037776304552768,0.6249279258266474,0.5827228617083531,0.5777269058675527,0.8000272795413914,5,758.0,0.6978365206798443,0.17683956941412746,0.28835600982726267,0.3419503045944017,0.2182915362373008,0.0,True,0.8,0.2,50,0.05,5605.0,75,0.5,0.001,test
0.35828066043915724,0.45670579167103376,0.4573866427348635,0.48787426253687316,0.3819806034482759,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9037776304552768,0.6249279258266474,0.5827228617083531,0.5777269058675527,0.8000272795413914,6,758.0,0.6978365206798443,0.17683956941412746,0.28835600982726267,0.3419503045944017,0.2182915362373008,0.0,True,0.8,0.2,50,0.05,5605.0,100,0.5,0.001,test
0.3579402349072424,0.43804269403102397,0.4381278004140027,0.4724983681136889,0.35708477011494255,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9023640733886484,0.6366411495250811,0.5836875211122335,0.5855048120528055,0.8056122816433311,7,758.0,0.7027619675444199,0.17518302706434122,0.2871132334874964,0.3435964898328076,0.21550342078745982,0.0,True,0.8,0.2,50,0.08,3996.0,50,0.45,0.001,test
0.3579402349072424,0.43804269403102397,0.4381278004140027,0.4724983681136889,0.35708477011494255,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9023640733886484,0.6366411495250811,0.5836875211122335,0.5855048120528055,0.8056122816433311,8,758.0,0.7027619675444199,0.17518302706434122,0.2871132334874964,0.3435964898328076,0.21550342078745982,0.0,True,0.8,0.2,50,0.08,3996.0,75,0.45,0.001,test
0.3579402349072424,0.43804269403102397,0.4381278004140027,0.4724983681136889,0.35708477011494255,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9023640733886484,0.6366411495250811,0.5836875211122335,0.5855048120528055,0.8056122816433311,9,758.0,0.7027619675444199,0.17518302706434122,0.2871132334874964,0.3435964898328076,0.21550342078745982,0.0,True,0.8,0.2,50,0.08,3996.0,100,0.45,0.001,test
0.3579402349072424,0.44871245916745267,0.44939331023128254,0.47926267390177785,0.3737849616858238,0.0,/kaggle/working/xai-object-detection/results/sab_odam_train/best.pt,24,0.0,0.9015754837957772,0.6224933572020162,0.5795622119517612,0.5747786818452855,0.8000272795413914,10,758.0,0.6956874028672463,0.17613770837144058,0.2874249511111142,0.34073030119139397,0.2176284093621694,0.0,True,0.8,0.2,50,0.08,4427.0,50,0.5,0.001,test
