epoch,method,lr,seconds,loss_det,loss_odam,raw_loss_sum,loss_proxy,loss_total_objective,odam_num_candidates,odam_num_kept,odam_keep_ratio,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic,ODAM_quality,ODAM_quality_samples,ODAM_quality_mean_iou
0,odam,0.0001,621.7103691101074,0.448695240389473,0.0,0.448695240389473,0.448695240389473,0.448695240389473,0.0,0.0,0.0,0.0009777244865951497,0.0028747803554085654,3.72217672895109e-05,0.0,0.0009948635614089446,0.005371031444903969,0.0011086474501108647,0.007095343680709534,0.017516629711751663,0.9986263381487758,0.8005739061748876,230.0,0.5854961537796518
1,odam,0.0001,617.8934941291809,0.3015572964348445,0.0,0.3015572964348445,0.3015572964348445,0.3015572964348445,0.0,0.0,0.0,0.0014785084952674,0.006581248785257175,0.00011001100110011002,3.161369600543525e-05,0.0026521095783966823,0.002576619064159952,0.0024707000316756414,0.015996198923028192,0.03614190687361419,0.998517558263224,0.8313829128453891,485.0,0.5897168216017104
2,odam,0.0001,626.2311456203461,0.2930246916873269,0.0,0.2930246916873269,0.2930246916873269,0.2930246916873269,0.0,0.0,0.0,0.00550177313630441,0.023285532199811616,0.0009563447347385077,0.0,0.006575248766918022,0.009180248847945674,0.004466265441875198,0.02682926829268293,0.08150142540386443,0.9940537339354772,0.816080327724456,943.0,0.6036855991799404
3,odam,0.0001,622.1616368293762,0.28569592759636353,0.0,0.28569592759636353,0.28569592759636353,0.28569592759636353,0.0,0.0,0.0,0.007513213005948646,0.032608860651843166,0.0003865805320409159,1.3788567524494812e-05,0.00857233644164215,0.020940544375641884,0.006430155210643015,0.03325942350332595,0.0731073804244536,0.9975176687394252,0.8142639093799034,824.0,0.6102292802437995
4,odam,0.0001,660.4079444408417,0.28258406569982086,0.20990763818096125,0.2878455252611475,0.2878455252611475,0.2878455252611475,19.570611970410223,19.570611970410223,0.9300605245460659,0.011730624522263311,0.04443743377259107,0.0013871915948569377,3.675664596162586e-05,0.011032001559041717,0.022907990195496903,0.007538802660753881,0.039214444092492876,0.08644282546721571,0.9889581485079334,0.8240515761263143,1010.0,0.6072239652128503
5,odam,0.0001,645.3547692298889,0.2812921407476109,0.2056124631297111,0.2966687472352555,0.2966687472352555,0.2966687472352555,20.411903160726293,20.411903160726293,0.9472091459314055,0.011814302618636629,0.02862065070394451,0.010569802656387184,0.0,0.007958784132871448,0.03100693112112606,0.0069052898321191,0.03471650300918594,0.04301552106430155,0.9958773649920103,0.8687102563034204,461.0,0.6304701681768041
6,odam,0.0001,662.9620404243469,0.28096886015297984,0.20029918079648917,0.306033791627681,0.306033791627681,0.306033791627681,20.810692669804975,20.810692669804975,0.9401479488903833,0.01634198719423415,0.05828060908068999,0.0022458432026561115,0.000128265272585003,0.017280827898399874,0.034861440488630525,0.00817231548938866,0.047165030091859364,0.10326259106746911,0.9848964477006744,0.8467122358569928,1125.0,0.6110067010455661
7,odam,1e-05,662.2830328941345,0.2761756245797408,0.1944328536830437,0.31026391115031915,0.31026391115031915,0.31026391115031915,21.0857431069267,21.0857431069267,0.9418291862811029,0.025386313705793608,0.0804740458672335,0.011922363093165906,0.0002439523166181022,0.020791811020492316,0.05179480863944454,0.011466582198289516,0.05590750712701932,0.12366170414950901,0.9813188874794848,0.8618881588291724,1255.0,0.6203948536242146
8,odam,1e-05,659.8032810688019,0.2639185154563782,0.1935446187748466,0.3026274403528371,0.3026274403528371,0.3026274403528371,22.437121721587086,22.437121721587086,0.9435104236718225,0.027684527964101077,0.08982262774206606,0.012495929542874316,0.0001966292208383461,0.024504261330966618,0.05711186902200299,0.01200506810262908,0.059233449477351915,0.120874247703516,0.9781952785032184,0.8578005230905892,1233.0,0.6183230170174914
9,odam,1e-05,661.8935940265656,0.26474076010573033,0.1923774071447366,0.30321624200799263,0.30321624200799263,0.30321624200799263,22.70275722932078,22.70275722932078,0.9391392064559516,0.029759779117115057,0.09781200903085684,0.01261144480732246,0.0002870331820194546,0.024010845642957492,0.06451162361480305,0.012575229648400382,0.06170414950902755,0.13262591067469115,0.9771082122661263,0.8621404940056131,1282.0,0.6215594376956058
10,odam,1.0000000000000002e-06,668.8437533378601,0.2648674423905639,0.19080445853831465,0.3030283343798162,0.3030283343798162,0.3030283343798162,22.86281102891728,22.86281102891728,0.9421654337592468,0.03047542128593877,0.10108542725856434,0.012708064625369999,0.000955399002501145,0.025294056973607232,0.06189784045708073,0.011973392461197338,0.06189420335761799,0.14570795058599936,0.9764949466039249,0.8567740574799343,1442.0,0.616226751992838
11,odam,1.0000000000000002e-06,666.3943626880646,0.2620055913736025,0.19170646682144826,0.3003468841092602,0.3003468841092602,0.3003468841092602,22.979152656355076,22.979152656355076,0.9303967720242098,0.03220815669673962,0.10077651325733261,0.012790793309292161,0.0008065914016840225,0.02458508819803704,0.06490760961431069,0.012733607855559072,0.06252771618625277,0.14326892619575543,0.9760816853321863,0.8588676862120704,1421.0,0.6186449830167986
12,odam,1.0000000000000002e-06,669.5280969142914,0.26209370789626046,0.1913876603915521,0.30037124096444123,0.30037124096444123,0.30037124096444123,23.00605245460659,23.00605245460659,0.9381304640215198,0.03229770673032776,0.10137465916760258,0.013115298242867172,0.00046906978397874473,0.025603787827108926,0.06416119050441438,0.012733607855559076,0.06439657903072536,0.14507443775736456,0.9759958208194466,0.8555592197084111,1448.0,0.6169199098045655
13,odam,1.0000000000000002e-06,672.5424439907074,0.26213128888220466,0.19133358309770584,0.30039800539087924,0.30039800539087924,0.30039800539087924,23.003026227303295,23.003026227303295,0.9435104236718225,0.03276312720772373,0.10246064086562298,0.013351737611319954,0.0008025234053047532,0.026813159771165364,0.06543169799781666,0.012955337345581247,0.06325625593918277,0.14735508394044977,0.9758844065122135,0.8575552494042955,1460.0,0.6171856979392979
14,odam,1.0000000000000002e-06,670.2584049701691,0.26139318049796395,0.19160274394695262,0.2997137296886297,0.2997137296886297,0.2997137296886297,22.98184263618023,22.98184263618023,0.9384667114996638,0.032299749181603464,0.1028428398755794,0.013268434632346107,0.0004220888149040603,0.02671924768248903,0.06495002152819364,0.012670256572695595,0.06293949952486538,0.14539119417168195,0.9750687825862787,0.857065566442064,1430.0,0.6185538028503631
15,odam,1.0000000000000002e-06,669.9893043041229,0.2618028287326124,0.1915533504443576,0.30011349992899233,0.30011349992899233,0.30011349992899233,22.995292535305985,22.995292535305985,0.9431741761936785,0.031094739386386773,0.10376067569092247,0.01322632941972415,0.0009071608733489886,0.027026351810103558,0.0617053566244845,0.012543554006968641,0.06433322774786189,0.14773519163763066,0.97592123162091,0.8534079713470373,1470.0,0.6151682859375364
16,odam,1.0000000000000002e-06,668.1221075057983,0.2616138956368611,0.19111889505844373,0.29983767504454983,0.29983767504454983,0.29983767504454983,23.01277740416947,23.01277740416947,0.9347679892400808,0.0309690369279422,0.10304911498978005,0.013300905621624734,0.0009984320946627282,0.02631045636289771,0.06236514446756857,0.011910041178333861,0.06369971491922712,0.14764016471333546,0.9757368144084674,0.858216203825456,1449.0,0.6177129494559773
17,odam,1.0000000000000002e-06,668.5076422691345,0.2622033506121409,0.19135730632292283,0.3004748118942993,0.3004748118942993,0.3004748118942993,23.078345662407532,23.078345662407532,0.9404841963685272,0.03214612397605629,0.10160318655819046,0.012966108531764909,0.0009402175393213771,0.02659377022292451,0.062332696930975616,0.01286031042128603,0.06379474184352232,0.14779854292049413,0.9763197819212195,0.856374142883766,1457.0,0.6166005076491514
18,odam,1.0000000000000002e-06,669.5963914394379,0.26168815209514634,0.1907108672428744,0.29983032621548494,0.29983032621548494,0.29983032621548494,23.041022192333557,23.041022192333557,0.9377942165433759,0.03256067368289767,0.10360118616727378,0.013238851173197022,0.0008941844901527883,0.025819461466261996,0.06295498351860182,0.012606905289832118,0.06284447260057016,0.14862210959771932,0.9753852796282805,0.8564933082329491,1461.0,0.6164375283716477
19,odam,1.0000000000000002e-06,669.2328844070435,0.26164321181105693,0.19094689706191958,0.29983259156119596,0.29983259156119596,0.29983259156119596,23.047074646940146,23.047074646940146,0.9445191661062542,0.031966949030917555,0.10465730591577221,0.012961578062834276,0.0008307377391194022,0.0269113518146198,0.06361907257807888,0.013367120684193856,0.06366803927779537,0.14583465315172633,0.9754604289436863,0.857472091899205,1438.0,0.6184789592682569
20,odam,1.0000000000000002e-06,673.2595345973969,0.26130831259614073,0.19114053614815754,0.2995364211356266,0.2995364211356266,0.2995364211356266,23.055817081371888,23.055817081371888,0.949226630800269,0.03311209415314895,0.10291549939628725,0.013928808932061242,0.0007541292454089919,0.027009160357854833,0.06588714145236477,0.013335445042762115,0.06426987646499842,0.1457396262274311,0.9752030197982886,0.8562088856082373,1446.0,0.6181832956740141
21,odam,1.0000000000000002e-06,673.5214099884033,0.2614202749163536,0.19086108348424208,0.29959249218018313,0.29959249218018313,0.29959249218018313,23.07128446536651,23.07128446536651,0.9351042367182246,0.03191115673962855,0.10327139737776617,0.013276250978030887,0.000801284768701515,0.02719778743824044,0.0634791207455665,0.013177066835603421,0.06293949952486537,0.1482736775419702,0.9754173517061898,0.8583014842875211,1458.0,0.6174583532355613
22,odam,1.0000000000000002e-06,672.3821609020233,0.2612177164806773,0.19079924502155646,0.29937756639199425,0.29937756639199425,0.29937756639199425,23.04909213180901,23.04909213180901,0.9273705447209146,0.031779625443848145,0.10380137916173561,0.013502458419504891,0.0006953273748687085,0.026443242178375785,0.06386763177266683,0.012606905289832122,0.06392144440924928,0.14368070953436807,0.9750326331605723,0.8593392980838344,1412.0,0.6179544528466109
23,odam,1.0000000000000002e-06,672.568418264389,0.26151084935899493,0.19129137342874303,0.29976912474691264,0.29976912474691264,0.29976912474691264,23.106926698049765,23.106926698049765,0.933422999327505,0.032962560248073515,0.10462492707069826,0.013290652713468082,0.0009283817940966058,0.026718179568163244,0.06436563063348594,0.013398796325625595,0.06503009185936015,0.14862210959771935,0.9748797690108681,0.856519477408834,1460.0,0.616299880857337
24,odam,1.0000000000000002e-06,670.3567099571228,0.2616882136109753,0.19131038961512142,0.29995029163218045,0.29995029163218045,0.29995029163218045,23.074310692669805,23.074310692669805,0.9421654337592468,0.03284014611588532,0.10330848619088533,0.01324155058475499,0.0008654427791031403,0.02669981418606346,0.06403008822380689,0.01289198606271777,0.0629711751662971,0.14846373139056063,0.9762064673196831,0.8580093059660134,1458.0,0.6160742887008337
